Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2019-09-09,70.2649242217,70.6205935562,71.3980536205,68.0017547899
LTC,2019-09-10,70.4291810054,70.2649664013,73.1786290113,69.9042852798
LTC,2019-09-11,69.7479950882,70.8109219554,71.6830864636,68.3765562193
LTC,2019-09-12,69.090204485,69.7489877063,70.0923597299,68.4725032581
LTC,2019-09-13,68.1338780251,69.0897459916,69.6566784739,67.59809806
LTC,2019-09-14,70.7079647554,68.1329806318,71.453357761,68.0432306694
LTC,2019-09-15,70.3403629576,70.6949139345,71.4742135223,69.7862969189
LTC,2019-09-16,72.86998651,70.3403411671,73.8056130213,69.5857486863
LTC,2019-09-17,75.4453176629,72.8699507217,77.5504119756,72.3193755449
LTC,2019-09-18,78.8023120187,75.4441212448,80.2867360756,73.7852298225
LTC,2019-09-19,76.6157067815,77.8547104409,77.8547104409,72.693530091
LTC,2019-09-20,74.2929679621,76.6163020142,77.3470571702,72.9155820222
LTC,2019-09-21,73.1879988548,74.293402949,75.6076302866,72.241218381
LTC,2019-09-22,72.4435172024,73.1876608114,73.3499756907,71.1901349649
LTC,2019-09-23,66.9376810555,72.4435341805,74.1746422048,62.0535289357
LTC,2019-09-24,57.4111878393,66.9119188834,67.3855100903,55.636470775
LTC,2019-09-25,57.5100460018,55.003663448,58.497334544,53.1874623542
LTC,2019-09-26,55.6738911398,57.5118776051,57.6648720387,50.4669862034
LTC,2019-09-27,55.8496933857,55.674249662,56.8126597542,52.8042626642
LTC,2019-09-28,55.2479828374,55.9796919809,56.2702565472,53.902445705
LTC,2019-09-29,54.4577797302,55.249662193,55.6222704799,52.2821103696
LTC,2019-09-30,55.7137076839,53.9259788312,56.3514888789,52.6141814799
LTC,2019-10-01,56.0957102188,56.1810522277,57.6720352906,55.0123162487
LTC,2019-10-02,56.0169951442,56.0940669907,56.747218512,55.3126813932
LTC,2019-10-03,56.6337429274,56.0169764856,56.7850618237,53.8765441624
LTC,2019-10-04,56.9569451674,56.4944122214,57.4852257703,55.3813440815
LTC,2019-10-05,56.7817514059,56.9568446444,57.4448173798,55.7105735429
LTC,2019-10-06,54.4957642516,56.8303828563,56.9171889768,53.2078862044
LTC,2019-10-07,57.6670030824,54.5032103784,58.7330999832,53.3319830546
LTC,2019-10-08,57.0311042994,57.6672867049,58.4999310369,56.5613689692
LTC,2019-10-09,59.2207567658,57.0134141269,60.0599526288,56.6537514121
LTC,2019-10-10,57.6377272646,59.2220423458,59.5629210208,57.393508361
LTC,2019-10-11,55.6629492512,57.6376435879,58.5724148516,55.4820393853
LTC,2019-10-12,55.8696036978,55.6627593336,56.4908301087,55.4362160119
LTC,2019-10-13,56.6263902395,55.7692778974,57.6680693111,55.54314519
LTC,2019-10-14,56.6617111533,56.6251396604,57.0827686568,56.0361408615
LTC,2019-10-16,52.5520049204,54.5618466098,55.294093041,51.1207847176
LTC,2019-10-17,54.720299346,52.5461363966,55.1132861675,51.5829241723
